Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	CTDPRS [dbar]	QV:IODE	CTDTMP [deg C]	QV:IODE	CTDSAL [pss-78]	QV:IODE	CTDOXY [umol/kg]	QV:IODE	Fluorescence Chl-a [mg/m~^3]	QV:IODE	Fluorescence Raw Data [arbitrary units]	QV:IODE	Transmissometer Beam Attenuation [1/m]	QV:IODE	Transmissometer Raw Data [arbitrary units]	QV:IODE	Turbidity Raw Data [arbitrary units]	QV:IODE	PAR Raw Data [arbitrary units]	QV:IODE	QV:ODV:SAMPLE
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	4.000	1	10.51400	1	34.692001	1	278.400	1	1.35000	1		9	0.811000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	5.000	1	10.51000	1	34.692001	1	278.400	1	1.38000	1		9	0.812000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	6.000	1	10.50300	1	34.692001	1	278.300	1	1.47000	1		9	0.813000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	7.000	1	10.50200	1	34.692001	1	278.200	1	1.60000	1		9	0.814000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	8.000	1	10.50200	1	34.693001	1	278.100	1	1.76000	1		9	0.814000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	9.000	1	10.50100	1	34.693001	1	278.100	1	1.91000	1		9	0.814000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	10.000	1	10.50100	1	34.693001	1	278.300	1	2.01000	1		9	0.814000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	11.000	1	10.50000	1	34.694000	1	278.600	1	2.09000	1		9	0.813000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	12.000	1	10.50000	1	34.695999	1	279.000	1	2.15000	1		9	0.811000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	13.000	1	10.50100	1	34.696999	1	279.100	1	2.19000	1		9	0.809000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	14.000	1	10.50500	1	34.700001	1	278.900	1	2.21000	1		9	0.804000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	15.000	1	10.52900	1	34.707001	1	278.300	1	2.22000	1		9	0.800000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	16.000	1	10.57000	1	34.721001	1	277.600	1	2.19000	1		9	0.783000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	17.000	1	10.61400	1	34.737999	1	277.000	1	2.12000	1		9	0.732000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	18.000	1	10.64300	1	34.751999	1	276.700	1	1.98000	1		9	0.651000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	19.000	1	10.66700	1	34.764999	1	276.200	1	1.79000	1		9	0.574000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	20.000	1	10.71100	1	34.789001	1	275.300	1	1.60000	1		9	0.517000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	21.000	1	10.77200	1	34.821999	1	274.200	1	1.42000	1		9	0.469000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	22.000	1	10.83700	1	34.862000	1	273.000	1	1.25000	1		9	0.428000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	23.000	1	10.89600	1	34.901001	1	271.500	1	1.08000	1		9	0.397000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	24.000	1	10.97400	1	34.948002	1	269.700	1	0.93000	1		9	0.384000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	25.000	1	11.04500	1	34.991001	1	267.400	1	0.81000	1		9	0.353000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	26.000	1	11.11800	1	35.030998	1	265.000	1	0.73000	1		9	0.325000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	27.000	1	11.18400	1	35.066002	1	262.600	1	0.68000	1		9	0.295000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	28.000	1	11.25200	1	35.103001	1	260.500	1	0.64000	1		9	0.281000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	29.000	1	11.30000	1	35.131001	1	258.900	1	0.61000	1		9	0.269000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	30.000	1	11.32700	1	35.147999	1	257.700	1	0.58000	1		9	0.261000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	31.000	1	11.36900	1	35.172001	1	256.800	1	0.56000	1		9	0.258000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	32.000	1	11.43900	1	35.209999	1	255.900	1	0.53000	1		9	0.255000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	33.000	1	11.51500	1	35.251999	1	254.900	1	0.49000	1		9	0.248000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	34.000	1	11.56600	1	35.280998	1	253.800	1	0.45000	1		9	0.230000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	35.000	1	11.58700	1	35.292999	1	252.900	1	0.42000	1		9	0.213000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	36.000	1	11.59300	1	35.296001	1	252.300	1	0.40000	1		9	0.199000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	37.000	1	11.59700	1	35.297001	1	252.000	1	0.39000	1		9	0.197000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	38.000	1	11.59900	1	35.297001	1	251.900	1	0.38000	1		9	0.195000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	39.000	1	11.60000	1	35.297001	1	251.600	1	0.36000	1		9	0.195000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	40.000	1	11.60100	1	35.298000	1	251.100	1	0.34000	1		9	0.193000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	41.000	1	11.60500	1	35.299999	1	250.500	1	0.33000	1		9	0.187000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	42.000	1	11.61000	1	35.303001	1	250.000	1	0.32000	1		9	0.180000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	43.000	1	11.61400	1	35.306000	1	249.700	1	0.31000	1		9	0.175000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	44.000	1	11.61600	1	35.307999	1	249.500	1	0.30000	1		9	0.172000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	45.000	1	11.61800	1	35.308998	1	249.400	1	0.29000	1		9	0.170000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	46.000	1	11.61500	1	35.308998	1	249.300	1	0.28000	1		9	0.167000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	47.000	1	11.60900	1	35.308998	1	249.300	1	0.27000	1		9	0.163000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	48.000	1	11.58900	1	35.306000	1	249.600	1	0.26000	1		9	0.159000	1		9		9		9	1
GA02	RP319102	C	2010-05-10T12:13:00	317.55328	49.72250	49.000	1	11.55500	1	35.299999	1	250.000	1	0.25000	1		9	0.156000	1		9		9		9	1
