Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	CTDPRS [dbar]	QV:IODE	CTDTMP [deg C]	QV:IODE	CTDSAL [pss-78]	QV:IODE	CTDOXY [umol/kg]	QV:IODE	Fluorescence Chl-a [mg/m~^3]	QV:IODE	Fluorescence Raw Data [arbitrary units]	QV:IODE	Transmissometer Beam Attenuation [1/m]	QV:IODE	Transmissometer Raw Data [arbitrary units]	QV:IODE	Turbidity Raw Data [arbitrary units]	QV:IODE	PAR Raw Data [arbitrary units]	QV:IODE	QV:ODV:SAMPLE
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	8.000	1	28.77000	1	36.681999	1	192.400	1	0.01000	1		9	0.059000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	9.000	1	28.76900	1	36.681999	1	192.400	1	0.01000	1		9	0.059000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	10.000	1	28.76600	1	36.681999	1	192.400	1	0.01000	1		9	0.059000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	11.000	1	28.76600	1	36.681999	1	192.400	1	0.01000	1		9	0.059000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	12.000	1	28.76600	1	36.681999	1	192.400	1	0.01000	1		9	0.059000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	13.000	1	28.76300	1	36.682999	1	192.500	1	0.01000	1		9	0.059000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	14.000	1	28.76000	1	36.682999	1	192.600	1	0.01000	1		9	0.059000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	15.000	1	28.75500	1	36.683998	1	192.600	1	0.01000	1		9	0.059000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	16.000	1	28.74900	1	36.683998	1	192.800	1	0.01000	1		9	0.059000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	17.000	1	28.73400	1	36.685001	1	192.900	1	0.01000	1		9	0.060000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	18.000	1	28.71200	1	36.683998	1	193.000	1	0.01000	1		9	0.060000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	19.000	1	28.68200	1	36.682999	1	193.200	1	0.02000	1		9	0.060000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	20.000	1	28.64900	1	36.680000	1	193.400	1	0.02000	1		9	0.060000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	21.000	1	28.61700	1	36.678001	1	193.700	1	0.02000	1		9	0.061000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	22.000	1	28.59200	1	36.676998	1	193.900	1	0.02000	1		9	0.062000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	23.000	1	28.57700	1	36.676998	1	194.000	1	0.02000	1		9	0.062000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	24.000	1	28.57200	1	36.678001	1	194.100	1	0.02000	1		9	0.063000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	25.000	1	28.57100	1	36.679001	1	194.300	1	0.02000	1		9	0.063000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	26.000	1	28.56800	1	36.680000	1	194.500	1	0.02000	1		9	0.063000	1		9		9		9	1
GA02	RC057152	C	2011-03-23T11:11:00	331.99881	-9.16080	27.000	1	28.55800	1	36.678001	1	194.600	1	0.02000	1		9	0.063000	1		9		9		9	1
